item,kind,status,title,source,landing_url,pdf_url,saved_path,note
https://www.rhoda.ai/research/direct-video-action,url,partial,,direct,https://www.rhoda.ai/research/direct-video-action,,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\html\www.rhoda.airesearchdirect-video-action.html,"Downloaded page HTML, but no PDF link was found."
S-VAM: Shortcut Video-Action Model by Self-Distilling Geometric and Semantic Foresight,title,ok,S-VAM: Shortcut Video-Action Model by Self-Distilling Geometric and Semantic Foresight,arxiv,http://arxiv.org/abs/2603.16195v2,https://arxiv.org/pdf/2603.16195v2,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\s-vam-shortcut-video-action-model-by-self-distilling-geometric-and-semantic-foresight.pdf,
Fast-WAM: Do World Action Models Need Test-time Future Imagination?,title,ok,Fast-WAM: Do World Action Models Need Test-time Future Imagination?,arxiv,http://arxiv.org/abs/2603.16666v1,https://arxiv.org/pdf/2603.16666v1,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\fast-wam-do-world-action-models-need-test-time-future-imagination.pdf,
Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,title,ok,Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,openalex,http://arxiv.org/abs/2412.14803,https://arxiv.org/pdf/2412.14803,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\video-prediction-policy-a-generalist-robot-policy-with-predictive-visual-representations.pdf,
Video Generators are Robot Policies,title,ok,Video Generators are Robot Policies,openalex,http://arxiv.org/abs/2508.00795,https://arxiv.org/pdf/2508.00795,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\video-generators-are-robot-policies.pdf,
mimic-video: Video-Action Models for Generalizable Robot Control Beyond VLAs,title,ok,mimic-video: Video-Action Models for Generalizable Robot Control Beyond VLAs,openalex,http://arxiv.org/abs/2512.15692,https://arxiv.org/pdf/2512.15692,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\mimic-video-video-action-models-for-generalizable-robot-control-beyond-vlas.pdf,
Lingbot-VA: Causal World Modeling for Robot Control,title,ok,Causal World Modeling for Robot Control,openalex,http://arxiv.org/abs/2601.21998,https://arxiv.org/pdf/2601.21998,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\lingbot-va-causal-world-modeling-for-robot-control.pdf,
COSMOS POLICY: FINE-TUNING VIDEO MODELS FOR VISUOMOTOR CONTROL AND PLANNING,title,ok,Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,openalex->direct+discovered_pdf,https://arxiv.org/abs/2601.16163,https://arxiv.org/pdf/2601.16163,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\doi.org10.48550arxiv.2601.16163.pdf,HTML also saved to C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\html\doi.org10.48550arxiv.2601.16163.html
Unified Video Action Model,title,ok,Unified Video Action Model,openalex,https://doi.org/10.15607/rss.2025.xxi.074,https://doi.org/10.15607/rss.2025.xxi.074,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\unified-video-action-model.pdf,
GR-2: A Generative Video-Language-Action Model with Web-Scale Knowledge for Robot Manipulation,title,ok,GR-2: A Generative Video-Language-Action Model with Web-Scale Knowledge for Robot Manipulation,openalex,http://arxiv.org/abs/2410.06158,https://arxiv.org/pdf/2410.06158,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\gr-2-a-generative-video-language-action-model-with-web-scale-knowledge-for-robot-manipulation.pdf,
GAIA-2: A Controllable Multi-View Generative World Model for Autonomous Driving,title,ok,GAIA-2: A Controllable Multi-View Generative World Model for Autonomous Driving,openalex,http://arxiv.org/abs/2503.20523,https://arxiv.org/pdf/2503.20523,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\gaia-2-a-controllable-multi-view-generative-world-model-for-autonomous-driving.pdf,
Prediction with Action: Visual Policy Learning via Joint Denoising Process,title,ok,Prediction with Action: Visual Policy Learning via Joint Denoising Process,openalex,http://arxiv.org/abs/2411.18179,https://arxiv.org/pdf/2411.18179,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\prediction-with-action-visual-policy-learning-via-joint-denoising-process.pdf,
Motus: A Unified Latent Action World Model,title,ok,Motus: A Unified Latent Action World Model,openalex,http://arxiv.org/abs/2512.13030,https://arxiv.org/pdf/2512.13030,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\motus-a-unified-latent-action-world-model.pdf,
Unified World Models: Coupling Video and Action Diffusion for Pretraining on Large Robotic Datasets,title,ok,Unified World Models: Coupling Video and Action Diffusion for Pretraining on Large Robotic Datasets,openalex,https://doi.org/10.15607/rss.2025.xxi.015,https://doi.org/10.15607/rss.2025.xxi.015,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\unified-world-models-coupling-video-and-action-diffusion-for-pretraining-on-large-robotic-datasets.pdf,
LATENT ACTION PRETRAINING FROM VIDEOS,title,ok,Latent Action Pretraining from Videos,openalex,http://arxiv.org/abs/2410.11758,https://arxiv.org/pdf/2410.11758,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\latent-action-pretraining-from-videos.pdf,
WorldVLA: Towards Autoregressive Action World Model,title,ok,WorldVLA: Towards Autoregressive Action World Model,openalex,http://arxiv.org/abs/2506.21539,https://arxiv.org/pdf/2506.21539,C:\Users\dell\Desktop\人工智能笔记\downloads_video_action\pdf\worldvla-towards-autoregressive-action-world-model.pdf,
